"id","title","vote_average","vote_count","status","release_date","revenue","runtime","adult","backdrop_path","budget","homepage","imdb_id","original_language","original_title","overview","popularity","poster_path","tagline","genres","production_companies","production_countries","spoken_languages","keywords"
27205,"Inception",8.364,34495,"Released","2010-07-15",825532764,148,"False","/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg",160000000,"https://www.warnerbros.com/movies/inception","tt1375666","en","Inception","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",83.952,"/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg","Your mind is the scene of the crime.","Action, Science Fiction, Adventure","Legendary Pictures, Syncopy, Warner Bros. Pictures","United Kingdom, United States of America","English, French, Japanese, Swahili","rescue, mission, dream, airplane, paris, france, virtual reality, kidnapping, philosophy, spy, allegory, manipulation, car crash, heist, memory, architecture, los angeles, california, dream world, subconscious"
157336,"Interstellar",8.417,32571,"Released","2014-11-05",701729206,169,"False","/pbrkL804c8yAv3zBZR4QPEafpAR.jpg",165000000,"http://www.interstellarmovie.net/","tt0816692","en","Interstellar","The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.",140.241,"/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg","Mankind was born on Earth. It was never meant to die here.","Adventure, Drama, Science Fiction","Legendary Pictures, Syncopy, Lynda Obst Productions","United Kingdom, United States of America","English","rescue, future, spacecraft, race against time, artificial intelligence (a.i.), nasa, time warp, dystopia, expedition, space travel, wormhole, famine, black hole, quantum mechanics, family relationships, space, robot, astronaut, scientist, single father, farmer, space station, curious, space adventure, time paradox, thoughtful, time-manipulation, father daughter relationship, 2060s, cornfield, time manipulation, complicated"
24428,"The Avengers",7.71,29166,"Released","2012-04-25",1518815515,143,"False","/9BBTo63ANSmhC4e6r62OJFuK2GL.jpg",220000000,"https://www.marvel.com/movies/the-avengers","tt0848228","en","The Avengers","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",98.082,"/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg","Some assembly required.","Science Fiction, Action, Adventure","Marvel Studios","United States of America","English, Hindi, Russian","new york city, superhero, shield, based on comic, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
293660,"Deadpool",7.606,28894,"Released","2016-02-09",783100000,108,"False","/en971MEXui9diirXlogOrPKmsEn.jpg",58000000,"https://www.20thcenturystudios.com/movies/deadpool","tt1431045","en","Deadpool","The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",72.735,"/zq8Cl3PNIDGU3iWNRoc5nEZ6pCe.jpg","Witness the beginning of a happy ending.","Action, Adventure, Comedy","20th Century Fox, The Donners' Company, Genre Films","United States of America","English","superhero, anti hero, mercenary, based on comic, aftercreditsstinger, duringcreditsstinger"
299536,"Avengers: Infinity War",8.255,27713,"Released","2018-04-25",2052415039,149,"False","/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg",300000000,"https://www.marvel.com/movies/avengers-infinity-war","tt4154756","en","Avengers: Infinity War","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",154.34,"/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg","An entire universe. Once and for all.","Adventure, Action, Science Fiction","Marvel Studios","United States of America","English, Xhosa","sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, aftercreditsstinger, marvel cinematic universe (mcu), cosmic"
118340,"Guardians of the Galaxy",7.906,26638,"Released","2014-07-30",772776600,121,"False","/uLtVbjvS1O7gXL8lUOwsFOH4man.jpg",170000000,"http://marvel.com/guardians","tt2015381","en","Guardians of the Galaxy","Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",33.255,"/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg","All heroes start somewhere.","Action, Science Fiction, Adventure","Marvel Studios","United States of America","English","spacecraft, based on comic, space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
68718,"Django Unchained",8.171,24672,"Released","2012-12-25",425368238,165,"False","/5Lbm0gpFDRAPIV1Cth6ln9iL1ou.jpg",100000000,"http://www.unchainedmovie.com","tt1853728","en","Django Unchained","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",54.224,"/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg","Life, liberty and the pursuit of vengeance.","Drama, Western","The Weinstein Company, Columbia Pictures","United States of America","English, French, German","rescue, friendship, bounty hunter, texas, slavery, plantation, rivalry, revenge, shootout, racism, kindness, dentist, django, slave trade, aftercreditsstinger, black slave, agreement, 19th century, chattanooga, german, cotton plantation, plantation owner, old west, western, 1850s, mississippi"
299534,"Avengers: Endgame",8.263,23857,"Released","2019-04-24",2.8e+09,181,"False","/7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg",356000000,"https://www.marvel.com/movies/avengers-endgame","tt4154796","en","Avengers: Endgame","After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",91.756,"/or06FN3Dka5tukK1e9sl16pB3iy.jpg","Avenge the fallen.","Adventure, Science Fiction, Action","Marvel Studios","United States of America","English, Japanese, Xhosa","superhero, time travel, space travel, time machine, based on comic, sequel, alien invasion, superhero team, marvel cinematic universe (mcu), alternate timeline, father daughter relationship, sister sister relationship"
475557,"Joker",8.168,23425,"Released","2019-10-01",1074458282,122,"False","/hO7KbdvGOtDdeg0W4Y5nKEHeDDh.jpg",55000000,"http://www.jokermovie.net/","tt7286456","en","Joker","During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",54.522,"/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg","Put on a happy face.","Crime, Thriller, Drama","Warner Bros. Pictures, Joint Effort, Village Roadshow Pictures, Bron Studios, DC Films","Canada, United States of America","English","dream, street gang, society, psychopath, clown, villain, based on comic, murder, psychological thriller, criminal mastermind, mental illness, anarchy, character study, clown makeup, subway train, social realism, supervillain, tv host, 1980s, mother son relationship, origin story, falling into madness, depressing"
11324,"Shutter Island",8.2,22318,"Released","2010-02-14",294800000,138,"False","/2nqsOT2AqPkTW81bWaLRtjgjqVM.jpg",80000000,"http://www.shutterisland.com/","tt1130884","en","Shutter Island","World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",56.595,"/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg","Some places never let you go.","Drama, Thriller, Mystery","Phoenix Pictures, Paramount, Appian Way, Sikelia Productions, Mandate International","United States of America","English, German","island, based on novel or book, hurricane, investigation, u.s. marshal, conspiracy theory, psychiatric hospital, psychological thriller, whodunit, neo-noir, 1950s"
